image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
1224,0.0,13.827082,18.569797,23.769,36.696,452.633067,131.772,1.74721,551.22813,119.262,12.884248,19.284869,-0.942835,0.715072,1.183328,0.044667,1,1,3,1,3,1,0,3,66,34.27063,11.423543,26.389541,32.18563,3,1,3,1,0,3,66,34.27063,11.423543,26.389541,32.18563
1225,0.0,12.895651,10.624596,30.441,21.267,390.902472,106.752,1.52313,415.942488,101.748,13.443543,10.839385,0.547892,0.214789,0.58849,0.025572,1,1,1,0,2,0,0,0,40,19.169725,19.169725,19.169725,19.169725,1,0,2,0,0,0,40,19.169725,19.169725,19.169725,19.169725
1226,0.0,12.885496,12.944171,29.19,29.19,369.514125,125.1,1.835849,459.414738,115.092,13.749005,13.724698,0.863508,0.780527,1.163989,0.048127,1,1,3,1,3,1,0,1,61,30.315268,10.105089,20.206087,27.813268,3,1,3,1,0,1,61,30.315268,10.105089,20.206087,27.813268
1227,0.0,16.574545,18.919709,30.024,37.53,767.024379,139.278,1.418643,800.758845,133.44,16.231804,18.803168,-0.34274,-0.11654,0.362012,0.011337,1,1,1,0,2,0,0,0,31,15.416725,15.416725,15.416725,15.416725,1,0,2,0,0,0,31,15.416725,15.416725,15.416725,15.416725
1228,0.0,18.053075,12.017696,34.611,28.773,570.529809,132.606,1.566098,648.258192,125.1,17.942409,12.375325,-0.110666,0.357629,0.37436,0.01303,1,1,1,0,2,0,0,0,56,27.050814,27.050814,27.050814,27.050814,1,0,2,0,0,0,56,27.050814,27.050814,27.050814,27.050814
1229,0.0,16.425795,24.590781,31.275,48.372,845.622207,184.314,1.78799,1114.976268,157.626,16.852666,23.454039,0.426871,-1.136742,1.214249,0.032227,1,1,1,0,2,0,0,0,101,47.19763,47.19763,47.19763,47.19763,1,0,2,0,0,0,101,47.19763,47.19763,47.19763,47.19763
1230,0.0,17.539946,21.518847,35.445,42.534,466.718076,225.18,2.94034,922.307256,154.29,18.298941,21.836916,0.758995,0.318069,0.822947,0.024015,1,1,11,5,7,5,0,7,184,94.025256,8.547751,16.983543,44.754901,11,5,7,5,0,7,184,94.025256,8.547751,16.983543,44.754901
1231,0.0,13.461667,16.976657,31.692,38.781,487.758645,155.124,1.981397,654.518196,139.278,13.687216,18.958876,0.225549,1.982219,1.99501,0.069108,1,1,3,1,3,1,0,3,87,47.17308,15.72436,28.80772,39.435082,3,1,3,1,0,3,87,47.17308,15.72436,28.80772,39.435082
1232,0.0,13.639356,12.57566,25.854,21.267,314.73909,103.416,1.6444,378.556353,92.574,13.662065,12.362795,0.02271,-0.212865,0.214073,0.009751,1,1,3,1,3,1,0,3,52,27.396268,9.132089,16.322271,23.36936,3,1,3,1,0,3,52,27.396268,9.132089,16.322271,23.36936
1233,0.0,10.579831,11.970754,20.433,28.356,340.474662,116.76,1.785035,420.289713,95.91,10.553447,13.798007,-0.026384,1.827253,1.827444,0.078998,1,1,3,1,3,1,0,1,52,27.944085,9.314695,12.295362,20.45036,3,1,3,1,0,1,52,27.944085,9.314695,12.295362,20.45036
