image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
224,0.0,44.248352,16.021801,67.137,37.947,645.302079,257.706,2.861792,1243.132461,208.5,36.318693,19.297289,-7.929659,3.275488,8.579528,0.21565,1,1,3,1,3,1,0,3,174,84.315715,28.105238,47.57272,71.502172,3,1,3,1,0,3,174,84.315715,28.105238,47.57272,71.502172
225,0.0,11.110212,29.530547,18.765,72.141,809.974962,190.986,1.893044,929.088927,179.31,10.399596,30.870292,-0.710616,1.339745,1.51654,0.044093,1,1,1,0,2,0,0,0,139,60.970906,60.970906,60.970906,60.970906,1,0,2,0,0,0,139,60.970906,60.970906,60.970906,60.970906
226,0.0,32.022537,10.282466,56.712,22.518,307.78353,164.298,2.641829,431.418609,156.792,28.621478,11.183281,-3.401059,0.900815,3.518333,0.150118,1,1,1,0,2,0,0,0,120,57.366082,57.366082,57.366082,57.366082,1,0,2,0,0,0,120,57.366082,57.366082,57.366082,57.366082
227,0.0,16.426861,12.806098,34.611,27.522,518.18922,160.962,1.994685,719.031015,122.598,16.752156,13.646993,0.325294,0.840895,0.901621,0.029799,1,1,4,1,4,0,1,3,107,58.693713,14.673428,24.852358,38.803445,4,1,4,0,1,3,107,58.693713,14.673428,24.852358,38.803445
228,0.0,20.541888,19.833907,43.785,41.7,867.70611,273.552,2.619682,1271.824146,169.302,21.557258,20.798117,1.01537,0.96421,1.400242,0.034796,1,1,13,6,7,5,1,8,233,119.84243,9.218648,19.61636,56.38899,13,6,7,5,1,8,233,119.84243,9.218648,19.61636,56.38899
229,0.0,16.079358,15.790028,33.36,27.105,428.810274,170.136,2.317708,705.119895,118.428,15.121058,14.105141,-0.9583,-1.684887,1.938346,0.064691,1,1,5,2,4,2,0,6,117,59.72499,11.944998,16.798541,41.216539,5,2,4,2,0,6,117,59.72499,11.944998,16.798541,41.216539
230,0.0,8.956608,7.321369,18.765,13.761,154.935099,71.724,1.625491,178.931781,63.384,9.270246,6.963981,0.313639,-0.357388,0.475495,0.031503,1,1,1,0,2,0,0,0,30,15.345179,15.345179,15.345179,15.345179,1,0,2,0,0,0,30,15.345179,15.345179,15.345179,15.345179
231,0.0,16.758665,18.926658,30.024,35.028,284.830182,164.298,2.746214,618.001506,128.436,15.73735,17.974765,-1.021315,-0.951892,1.396132,0.049771,1,1,7,3,5,3,0,9,119,60.773628,8.681947,15.142816,34.801087,7,3,5,3,0,9,119,60.773628,8.681947,15.142816,34.801087
232,0.0,68.67246,14.063007,98.829,32.943,929.784483,282.726,2.61559,1800.272817,261.876,57.863332,13.112984,-10.809128,-0.950023,10.850797,0.22664,1,1,3,1,3,1,0,1,196,90.410263,30.136754,57.188271,88.152536,3,1,3,1,0,1,196,90.410263,30.136754,57.188271,88.152536
233,0.0,19.07239,25.756187,42.117,49.206,706.858785,323.592,3.433417,1352.85642,180.978,20.281797,23.91152,1.209407,-1.844667,2.20578,0.053147,1,1,11,5,7,5,0,7,236,120.545614,10.958692,19.574449,63.89499,11,5,7,5,0,7,236,120.545614,10.958692,19.574449,63.89499
234,0.0,12.965799,15.973421,25.02,32.526,499.930875,116.76,1.473107,526.88367,113.424,12.788413,15.643831,-0.177386,-0.32959,0.374293,0.014451,1,1,3,1,3,1,0,1,46,24.923903,8.307968,18.323449,22.249176,3,1,3,1,0,1,46,24.923903,8.307968,18.323449,22.249176
235,0.0,10.523299,48.364562,20.85,72.558,633.651516,209.334,2.345901,1057.766787,185.148,11.678159,41.607078,1.15486,-6.757484,6.855457,0.186804,1,1,1,0,2,0,0,0,145,66.063812,66.063812,66.063812,66.063812,1,0,2,0,0,0,145,66.063812,66.063812,66.063812,66.063812
236,0.0,25.71302,20.395986,71.307,43.785,445.677507,261.042,3.48815,1054.115118,228.516,29.255212,20.377212,3.542192,-0.018774,3.542241,0.096689,1,1,3,1,3,1,0,1,187,93.393619,31.131206,67.593804,81.658348,3,1,3,1,0,1,187,93.393619,31.131206,67.593804,81.658348
237,0.0,40.060771,19.380803,65.052,40.866,1592.82324,233.52,1.650575,1875.566754,210.168,37.297762,19.173997,-2.763009,-0.206806,2.770738,0.056699,1,1,3,1,3,1,0,1,112,55.209536,18.403179,28.259903,48.162447,3,1,3,1,0,1,112,55.209536,18.403179,28.259903,48.162447
238,0.0,23.700902,18.194983,68.805,40.449,620.78373,241.026,2.728907,967.866174,216.84,28.821997,20.337478,5.121095,2.142495,5.551207,0.158134,1,1,3,1,3,1,0,3,150,76.898621,25.632874,38.369085,70.54244,3,1,3,1,0,3,150,76.898621,25.632874,38.369085,70.54244
239,0.0,14.536751,15.208705,28.773,35.028,399.596922,189.318,2.671628,612.263169,125.934,15.260175,15.581837,0.723424,0.373132,0.813984,0.029154,1,1,9,4,6,4,0,12,121,66.658623,7.406514,13.849906,36.31372,9,4,6,4,0,12,121,66.658623,7.406514,13.849906,36.31372
240,0.0,13.688663,50.990164,34.194,77.145,681.64488,236.856,2.559177,1192.009095,221.01,17.562756,44.09448,3.874093,-6.895684,7.909428,0.203025,1,1,1,0,2,0,0,0,151,72.538534,72.538534,72.538534,72.538534,1,0,2,0,0,0,151,72.538534,72.538534,72.538534,72.538534
241,0.0,10.391877,12.728581,22.518,26.688,453.154734,103.416,1.370438,462.54474,96.744,10.200353,12.755027,-0.191524,0.026446,0.193341,0.007967,1,1,1,0,2,0,0,0,7,3.681454,3.681454,3.681454,3.681454,1,0,2,0,0,0,7,3.681454,3.681454,3.681454,3.681454
242,0.0,18.415948,17.49816,33.777,33.36,560.792025,145.116,1.728659,662.690979,132.606,16.841887,16.643071,-1.574061,-0.85509,1.791326,0.061669,1,1,1,0,2,0,0,0,64,32.632266,32.632266,32.632266,32.632266,1,0,2,0,0,0,64,32.632266,32.632266,32.632266,32.632266
243,0.0,19.704295,19.179162,33.777,47.538,485.498088,216.84,2.776136,926.132814,160.962,18.668462,25.147621,-1.035833,5.968459,6.057677,0.176406,1,1,5,2,4,2,0,4,129,67.277986,13.455597,24.161449,45.54699,5,2,4,2,0,4,129,67.277986,13.455597,24.161449,45.54699
244,0.0,12.567487,20.6849,26.271,39.615,285.699627,132.606,2.213112,318.390759,130.104,12.775436,20.446779,0.207949,-0.238122,0.316141,0.015702,1,1,1,0,2,0,0,0,80,42.067899,42.067899,42.067899,42.067899,1,0,2,0,0,0,80,42.067899,42.067899,42.067899,42.067899
245,0.0,20.148183,14.904247,45.87,32.109,382.903578,156.792,2.260343,546.359238,154.29,21.281466,15.432583,1.133284,0.528337,1.250389,0.047408,1,1,1,0,2,0,0,0,111,54.476717,54.476717,54.476717,54.476717,1,0,2,0,0,0,111,54.476717,54.476717,54.476717,54.476717
246,0.0,16.901673,27.153448,35.028,57.546,990.819522,222.678,1.995607,1296.864162,183.48,16.887717,28.429246,-0.013956,1.275799,1.275875,0.031398,1,1,5,2,4,2,0,4,137,70.066169,14.013234,30.791539,58.05699,5,2,4,2,0,4,137,70.066169,14.013234,30.791539,58.05699
247,0.0,16.39366,15.844201,34.194,44.202,665.125425,203.496,2.225867,901.440576,155.124,14.939765,19.380284,-1.453895,3.536083,3.823309,0.112854,1,1,3,1,3,1,0,3,154,80.812073,26.937358,31.035812,57.973169,3,1,3,1,0,3,154,80.812073,26.937358,31.035812,57.973169
248,0.0,23.853306,30.778605,59.631,84.651,664.429869,317.754,3.477455,1454.059818,286.896,27.777825,37.985299,3.924519,7.206694,8.205991,0.190715,1,1,5,2,4,2,0,4,209,110.656155,22.131231,68.832529,101.250157,5,2,4,2,0,4,209,110.656155,22.131231,68.832529,101.250157
249,0.0,21.196748,17.073475,37.113,33.36,450.024732,214.338,2.850205,711.727677,139.278,20.505998,17.438048,-0.69075,0.364572,0.781056,0.025946,1,1,13,6,8,6,0,10,174,91.380164,7.029243,14.511179,39.030358,13,6,8,6,0,10,174,91.380164,7.029243,14.511179,39.030358
250,0.0,17.512093,41.163124,37.947,60.465,988.385076,303.576,2.723952,1700.112753,195.156,17.684455,33.889194,0.172363,-7.27393,7.275972,0.156386,1,1,12,6,6,6,0,10,272,139.661152,11.638429,36.755271,78.233442,12,6,6,6,0,10,272,139.661152,11.638429,36.755271,78.233442
251,0.0,15.427913,22.964165,21.267,47.955,400.292478,155.124,2.187184,640.085409,136.776,13.126211,22.227369,-2.301702,-0.736796,2.416754,0.084656,1,1,5,2,4,2,0,2,130,60.196176,12.039235,25.955181,47.382633,5,2,4,2,0,2,130,60.196176,12.039235,25.955181,47.382633
252,0.0,16.688822,18.897224,44.619,35.028,661.647645,231.852,2.542685,1015.163982,157.626,20.032214,16.597214,3.343392,-2.300009,4.058117,0.112876,1,1,9,4,6,4,0,6,136,70.066169,7.78513,15.660998,52.909899,9,4,6,4,0,6,136,70.066169,7.78513,15.660998,52.909899
253,0.0,9.281467,17.950301,17.097,31.692,304.30575,100.08,1.618405,330.910767,95.91,9.557145,17.562756,0.275678,-0.387545,0.475594,0.02317,1,1,1,0,2,0,0,0,50,24.721541,24.721541,24.721541,24.721541,1,0,2,0,0,0,50,24.721541,24.721541,24.721541,24.721541
254,0.0,29.515236,27.440562,58.797,54.627,1334.250297,260.208,2.009542,1648.815498,225.18,28.984095,27.304309,-0.531141,-0.136253,0.548339,0.011968,1,1,5,2,4,2,0,4,163,84.046891,16.809378,39.161174,65.753077,5,2,4,2,0,4,163,84.046891,16.809378,39.161174,65.753077
255,0.0,29.716695,6.116112,48.789,14.178,322.911873,138.444,2.173338,406.552482,124.266,27.536447,6.040436,-2.180249,-0.075676,2.181561,0.095886,1,1,1,0,2,0,0,0,90,41.056087,41.056087,41.056087,41.056087,1,0,2,0,0,0,90,41.056087,41.056087,41.056087,41.056087
256,0.0,13.017272,18.262988,27.105,34.611,634.173183,128.436,1.438725,663.560424,121.764,12.556224,18.114913,-0.461048,-0.148075,0.484243,0.01666,1,1,1,0,2,0,0,0,32,16.006452,16.006452,16.006452,16.006452,1,0,2,0,0,0,32,16.006452,16.006452,16.006452,16.006452
257,0.0,19.171311,17.120516,40.866,44.202,831.015531,211.002,2.064796,1121.931828,168.468,20.390473,18.028141,1.219162,0.907625,1.519914,0.040214,1,1,3,1,3,1,0,1,124,59.349901,19.7833,23.381635,45.356903,3,1,3,1,0,1,124,59.349901,19.7833,23.381635,45.356903
258,0.0,11.895323,13.318566,23.769,25.854,468.978633,107.586,1.401439,489.323646,97.578,11.745204,13.299692,-0.15012,-0.018874,0.151301,0.006062,1,1,1,0,2,0,0,0,15,7.535635,7.535635,7.535635,7.535635,1,0,2,0,0,0,15,7.535635,7.535635,7.535635,7.535635
259,0.0,14.03955,8.766352,25.854,17.514,197.711793,95.076,1.907435,256.834053,85.068,13.331719,9.200962,-0.707831,0.43461,0.830609,0.045932,1,1,3,1,3,1,0,3,55,28.474541,9.491514,16.077998,24.793087,3,1,3,1,0,3,55,28.474541,9.491514,16.077998,24.793087
260,0.0,20.417255,9.790611,34.611,26.271,285.525738,130.938,2.18594,426.897495,120.096,20.861975,10.297862,0.44472,0.50725,0.674595,0.028935,1,1,3,1,3,1,0,1,95,48.293263,16.097754,27.223541,41.907447,3,1,3,1,0,1,95,48.293263,16.097754,27.223541,41.907447
261,0.0,9.861376,16.437125,21.684,28.356,274.222953,121.764,2.074255,391.771917,98.412,8.956801,15.900138,-0.904575,-0.536987,1.051955,0.047101,1,1,3,1,3,1,0,1,79,39.375812,13.125271,19.61636,31.077722,3,1,3,1,0,1,79,39.375812,13.125271,19.61636,31.077722
262,0.0,15.093903,16.944109,42.534,30.858,528.100893,200.994,2.467287,874.835559,145.116,18.669971,15.654326,3.576068,-1.289783,3.801552,0.113905,1,1,5,2,4,2,0,4,109,56.34708,11.269416,21.099358,47.244626,5,2,4,2,0,4,109,56.34708,11.269416,21.099358,47.244626
263,0.0,12.133838,17.724157,21.684,31.692,437.678613,114.258,1.54065,484.628643,105.084,12.280253,17.059071,0.146415,-0.665086,0.681012,0.027415,1,1,1,0,2,0,0,0,41,19.068543,19.068543,19.068543,19.068543,1,0,2,0,0,0,41,19.068543,19.068543,19.068543,19.068543
264,0.0,25.708396,28.827904,74.643,47.955,975.343401,254.37,2.297641,1380.330882,243.528,31.923404,25.170032,6.215008,-3.657872,7.211543,0.172021,1,1,1,0,2,0,0,0,152,76.755529,76.755529,76.755529,76.755529,1,0,2,0,0,0,152,76.755529,76.755529,76.755529,76.755529
265,0.0,14.841892,28.106453,29.19,46.704,655.387641,193.488,2.132063,985.428963,149.286,14.791064,23.908699,-0.050828,-4.197754,4.198061,0.118517,1,1,5,2,4,2,0,4,122,64.358986,12.871797,29.26663,51.444261,5,2,4,2,0,4,122,64.358986,12.871797,29.26663,51.444261
266,0.0,21.292322,48.199794,42.951,82.566,1738.194444,277.722,1.879127,2157.788601,248.532,20.144655,44.50093,-1.147667,-3.698863,3.872819,0.073887,1,1,1,0,2,0,0,0,164,79.859532,79.859532,79.859532,79.859532,1,0,2,0,0,0,164,79.859532,79.859532,79.859532,79.859532
267,0.0,15.770504,18.041662,29.607,44.619,624.783177,180.144,2.03306,740.76714,146.784,14.294192,20.29723,-1.476311,2.255568,2.695753,0.087778,1,1,3,1,3,1,0,1,86,44.022082,14.674027,25.483995,37.910174,3,1,3,1,0,1,86,44.022082,14.674027,25.483995,37.910174
268,0.0,16.548089,13.750489,31.275,35.028,444.981951,165.966,2.219438,658.865421,130.938,16.040853,15.352346,-0.507235,1.601857,1.680248,0.058012,1,1,7,3,5,3,0,3,117,58.992172,8.427453,16.250725,41.001901,7,3,5,3,0,3,117,58.992172,8.427453,16.250725,41.001901
269,0.0,9.684281,13.944701,16.263,23.769,190.060677,89.238,1.825992,249.704604,78.396,9.456259,13.769131,-0.228022,-0.17557,0.287783,0.01614,1,1,1,0,2,0,0,0,39,18.234543,18.234543,18.234543,18.234543,1,0,2,0,0,0,39,18.234543,18.234543,18.234543,18.234543
270,0.0,11.844945,18.102921,25.854,33.36,584.788707,120.93,1.410684,602.003718,116.76,11.848003,17.965328,0.003058,-0.137593,0.137627,0.004971,1,1,1,0,2,0,0,0,27,12.885089,12.885089,12.885089,12.885089,1,0,2,0,0,0,27,12.885089,12.885089,12.885089,12.885089
271,0.0,9.464773,13.271119,20.433,26.271,193.01679,118.428,2.40465,280.830735,91.74,9.219831,13.207023,-0.244942,-0.064096,0.253189,0.01339,1,1,5,2,4,2,0,2,72,37.56472,7.512944,12.712362,29.856358,5,2,4,2,0,2,72,37.56472,7.512944,12.712362,29.856358
272,0.0,19.056361,30.92184,41.283,55.878,994.992858,218.508,1.954125,1139.668506,192.654,19.007031,30.798065,-0.04933,-0.123775,0.133243,0.003498,1,1,4,2,2,2,0,4,158,84.451616,21.112904,38.45799,72.787891,4,2,2,2,0,4,158,84.451616,21.112904,38.45799,72.787891
273,0.0,26.625826,27.312338,62.133,58.38,1560.479886,321.924,2.298896,2222.127531,239.358,29.341068,29.164662,2.715242,1.852323,3.286889,0.061794,1,1,7,3,5,3,0,7,251,131.565425,18.795061,33.078901,78.250802,7,3,5,3,0,7,251,131.565425,18.795061,33.078901,78.250802
274,0.0,23.058438,19.638862,54.21,42.951,1073.242908,221.01,1.903084,1456.668153,192.654,26.074795,19.235637,3.016358,-0.403225,3.04319,0.070663,1,1,5,2,4,2,0,2,125,64.156623,12.831325,28.129087,52.206715,5,2,4,2,0,2,125,64.156623,12.831325,28.129087,52.206715
275,0.0,14.178735,4.889582,31.275,13.344,147.979539,91.74,2.127419,175.454001,87.57,14.402205,4.867411,0.22347,-0.022171,0.224567,0.015025,1,1,1,0,2,0,0,0,66,31.738995,31.738995,31.738995,31.738995,1,0,2,0,0,0,66,31.738995,31.738995,31.738995,31.738995
276,0.0,16.674714,11.434849,63.384,21.684,466.370298,181.812,2.374937,829.276641,168.468,23.921101,11.937226,7.246388,0.502377,7.263781,0.223541,1,1,1,0,2,0,0,0,125,55.47836,55.47836,55.47836,55.47836,1,0,2,0,0,0,125,55.47836,55.47836,55.47836,55.47836
277,0.0,4.476142,18.164066,10.425,45.036,233.185149,125.1,2.311011,316.825758,109.254,4.686329,19.92697,0.210187,1.762904,1.77539,0.088395,1,1,1,0,2,0,0,0,89,39.257271,39.257271,39.257271,39.257271,1,0,2,0,0,0,89,39.257271,39.257271,39.257271,39.257271
278,0.0,20.292927,13.367882,36.279,24.603,214.057359,130.938,2.524618,450.720288,120.096,20.647935,13.734455,0.355008,0.366573,0.5103,0.021302,1,1,5,2,4,2,0,4,104,52.189355,10.437871,21.081998,38.714539,5,2,4,2,0,4,104,52.189355,10.437871,21.081998,38.714539
279,0.0,37.913338,13.401624,56.712,32.943,571.920921,221.844,2.616826,1010.29509,177.642,32.22075,17.346698,-5.692588,3.945073,6.925977,0.193109,1,1,5,2,4,2,0,4,134,69.678804,13.935761,27.872539,55.888169,5,2,4,2,0,4,134,69.678804,13.935761,27.872539,55.888169
280,0.0,15.099455,13.623393,30.024,32.109,468.456966,164.298,2.141374,616.088727,122.598,15.748841,15.154001,0.649386,1.530608,1.662668,0.059365,1,1,6,3,3,3,0,9,104,56.34708,9.39118,16.941633,28.259903,6,3,3,3,0,9,104,56.34708,9.39118,16.941633,28.259903
281,0.0,25.049095,12.206127,67.137,25.437,390.033027,281.892,4.026495,1071.15624,183.48,31.404703,12.967481,6.355608,0.761354,6.401048,0.173328,1,1,7,3,5,3,0,5,223,109.38271,15.626101,40.293633,69.67372,7,3,5,3,0,5,223,109.38271,15.626101,40.293633,69.67372
282,0.0,20.739749,37.939684,49.206,130.938,1005.947865,378.636,3.367668,2424.882105,358.62,25.839632,53.113734,5.099882,15.17405,16.008142,0.288098,1,1,1,0,2,0,0,0,273,129.285254,129.285254,129.285254,129.285254,1,0,2,0,0,0,273,129.285254,129.285254,129.285254,129.285254
283,0.0,6.541268,14.155206,15.846,30.024,216.317916,107.586,2.063501,315.434646,90.072,6.316378,13.796861,-0.224891,-0.358345,0.423068,0.021111,1,1,3,1,3,1,0,3,63,31.983268,10.661089,16.494998,25.87136,3,1,3,1,0,3,63,31.983268,10.661089,16.494998,25.87136
284,0.0,19.644447,24.503357,46.704,42.951,468.283077,235.188,3.065886,998.12286,177.642,19.700417,25.277973,0.055969,0.774617,0.776636,0.021786,1,1,5,2,4,2,0,4,173,89.914527,17.982905,35.551266,62.429353,5,2,4,2,0,4,173,89.914527,17.982905,35.551266,62.429353
285,0.0,6.451533,12.586404,13.761,21.684,157.543434,81.732,1.836906,191.2779,69.222,5.810705,11.589946,-0.640828,-0.996458,1.184731,0.075916,1,1,1,0,2,0,0,0,39,20.479995,20.479995,20.479995,20.479995,1,0,2,0,0,0,39,20.479995,20.479995,20.479995,20.479995
286,0.0,8.875293,14.889185,18.348,33.777,304.653528,110.088,1.779229,352.646892,102.582,9.301074,15.487396,0.425781,0.598212,0.734266,0.034652,1,1,1,0,2,0,0,0,55,26.979268,26.979268,26.979268,26.979268,1,0,2,0,0,0,55,26.979268,26.979268,26.979268,26.979268
287,0.0,35.484208,39.773658,74.643,75.894,675.037098,324.426,3.522467,1449.190926,298.572,35.441097,38.859456,-0.043111,-0.914201,0.915217,0.021306,1,1,3,1,3,1,0,1,234,121.456244,40.485415,63.251077,113.402428,3,1,3,1,0,1,234,121.456244,40.485415,63.251077,113.402428
288,0.0,14.340244,38.709529,41.283,62.133,625.478733,227.682,2.568133,1135.49517,205.164,18.715573,33.243266,4.375329,-5.466264,7.001681,0.184143,1,1,1,0,2,0,0,0,128,64.156623,64.156623,64.156623,64.156623,1,0,2,0,0,0,128,64.156623,64.156623,64.156623,64.156623
289,0.0,11.657909,10.752643,19.182,27.522,198.407349,107.586,2.154626,324.302985,91.74,10.21896,11.101255,-1.43895,0.348613,1.480577,0.072862,1,1,3,1,3,1,0,1,63,31.321995,10.440665,16.465362,29.725541,3,1,3,1,0,1,63,31.321995,10.440665,16.465362,29.725541
290,0.0,13.812814,16.274745,27.939,39.615,262.398501,151.788,2.643333,514.71144,133.44,12.819932,17.46272,-0.992882,1.187976,1.548257,0.060479,1,1,3,1,3,1,0,1,114,55.698082,18.566027,25.525906,42.812993,3,1,3,1,0,1,114,55.698082,18.566027,25.525906,42.812993
291,0.0,14.266425,7.4427,30.024,22.518,222.230142,128.436,2.430415,360.471897,103.416,15.451228,9.611216,1.184803,2.168517,2.471077,0.115344,1,1,3,1,3,1,0,3,76,40.858809,13.619603,21.587903,32.703812,3,1,3,1,0,3,76,40.858809,13.619603,21.587903,32.703812
292,0.0,24.051245,15.484977,43.368,30.441,461.153628,181.812,2.388333,802.497735,145.95,23.678688,14.934699,-0.372558,-0.550278,0.664534,0.020789,1,1,7,3,5,3,0,5,131,68.326623,9.760946,18.955087,48.436355,7,3,5,3,0,5,131,68.326623,9.760946,18.955087,48.436355
293,0.0,14.268539,15.071981,32.109,29.607,543.403125,140.112,1.695545,657.30042,121.764,14.931027,15.709537,0.662488,0.637556,0.919439,0.031782,1,1,5,2,4,2,0,4,85,45.12999,9.025998,11.490998,30.029085,5,2,4,2,0,4,85,45.12999,9.025998,11.490998,30.029085
294,0.0,13.805362,19.472252,35.445,37.53,457.675848,184.314,2.430381,695.208222,144.282,15.681098,17.683178,1.875737,-1.789074,2.592137,0.087126,1,1,9,4,6,4,0,10,119,62.572445,6.952494,17.400543,46.637539,9,4,6,4,0,10,119,62.572445,6.952494,17.400543,46.637539
295,0.0,33.834426,8.885457,71.307,19.599,410.37804,234.354,3.263438,879.356673,180.144,34.499638,8.899944,0.665212,0.014487,0.66537,0.019885,1,1,5,2,4,2,0,4,183,89.939077,17.987815,36.742995,74.838172,5,2,4,2,0,4,183,89.939077,17.987815,36.742995,74.838172
296,0.0,21.180039,15.625106,45.453,30.441,877.617783,199.326,1.898044,1068.721794,150.12,23.149131,14.643919,1.969093,-0.981187,2.200012,0.05964,1,1,3,1,3,1,0,1,78,42.067899,14.022633,23.875266,37.695536,3,1,3,1,0,1,78,42.067899,14.022633,23.875266,37.695536
297,0.0,29.374715,8.846576,52.959,15.429,378.034686,155.958,2.262752,540.79479,135.108,28.845271,8.380895,-0.529444,-0.465681,0.705103,0.026871,1,1,3,1,3,1,0,1,107,49.669995,16.556665,27.092725,45.571541,3,1,3,1,0,1,107,49.669995,16.556665,27.092725,45.571541
298,0.0,10.786617,11.5182,23.352,34.194,356.124672,138.444,2.069513,520.275888,113.424,9.998383,14.344967,-0.788234,2.826768,2.934609,0.114019,1,1,3,1,3,1,0,3,83,43.950536,14.650179,28.301814,39.161174,3,1,3,1,0,3,83,43.950536,14.650179,28.301814,39.161174
299,0.0,12.0096,26.860503,30.441,45.036,203.45013,150.954,2.985456,246.400713,149.286,12.835919,25.261754,0.826319,-1.598749,1.799667,0.101605,1,1,1,0,2,0,0,0,89,48.06635,48.06635,48.06635,48.06635,1,0,2,0,0,0,89,48.06635,48.06635,48.06635,48.06635
300,0.0,9.039637,31.532187,22.101,76.311,458.719182,235.188,3.097682,1146.276288,195.156,11.384125,39.104947,2.344488,7.57276,7.927378,0.207506,1,1,3,1,3,1,0,3,184,89.003896,29.667965,68.583172,84.631534,3,1,3,1,0,3,184,89.003896,29.667965,68.583172,84.631534
301,0.0,19.473439,11.308888,32.943,20.433,409.160817,121.764,1.698114,501.843654,105.084,17.5835,10.116657,-1.889939,-1.192231,2.234566,0.0884,1,1,1,0,2,0,0,0,64,29.868633,29.868633,29.868633,29.868633,1,0,2,0,0,0,64,29.868633,29.868633,29.868633,29.868633
302,0.0,19.871232,24.656516,37.53,51.291,951.17283,289.398,2.647042,1329.729183,175.974,20.336071,23.847607,0.464839,-0.80891,0.932958,0.022674,1,1,11,5,7,5,0,9,215,111.270433,10.115494,21.587903,60.832899,11,5,7,5,0,9,215,111.270433,10.115494,21.587903,60.832899
303,0.0,26.664507,17.862479,46.704,35.445,370.38357,180.144,2.640517,627.565401,162.63,25.470912,18.752117,-1.193595,0.889638,1.488665,0.052664,1,1,3,1,3,1,0,3,122,63.149896,21.049965,44.152899,58.461715,3,1,3,1,0,3,122,63.149896,21.049965,44.152899,58.461715
304,0.0,9.218161,8.402616,17.931,16.68,165.020661,75.894,1.666608,195.972903,67.554,9.241527,7.846963,0.023366,-0.555653,0.556144,0.035207,1,1,1,0,2,0,0,0,32,15.660998,15.660998,15.660998,15.660998,1,0,2,0,0,0,32,15.660998,15.660998,15.660998,15.660998
305,0.0,20.735956,23.757581,54.21,55.878,958.823946,250.2,2.27936,1588.823793,218.508,25.79022,27.488935,5.054264,3.731354,6.282403,0.13968,1,1,3,1,3,1,0,1,144,75.289891,25.09663,55.143075,69.940437,3,1,3,1,0,1,144,75.289891,25.09663,55.143075,69.940437
306,0.0,11.373174,14.640001,22.101,28.773,184.496229,101.748,2.113135,206.580132,100.08,10.752492,14.052689,-0.620681,-0.587312,0.854506,0.052689,1,1,1,0,2,0,0,0,52,28.664628,28.664628,28.664628,28.664628,1,0,2,0,0,0,52,28.664628,28.664628,28.664628,28.664628
307,0.0,11.449991,6.317896,22.518,11.259,157.369545,70.89,1.594115,175.454001,65.886,11.64769,6.126263,0.1977,-0.191632,0.275333,0.018421,1,1,1,0,2,0,0,0,30,13.790635,13.790635,13.790635,13.790635,1,0,2,0,0,0,30,13.790635,13.790635,13.790635,13.790635
308,0.0,14.969982,32.917577,27.522,52.959,410.725818,181.812,2.530706,783.717723,159.294,13.138368,29.69522,-1.831614,-3.222357,3.706534,0.117336,1,1,3,1,3,1,0,3,115,57.63999,19.21333,39.995174,53.714263,3,1,3,1,0,3,115,57.63999,19.21333,39.995174,53.714263
309,0.0,31.778521,29.752641,70.473,72.975,504.104211,291.9,3.667491,1033.248438,285.228,35.121548,33.431301,3.343026,3.678661,4.970751,0.137045,1,1,1,0,2,0,0,0,183,99.527971,99.527971,99.527971,99.527971,1,0,2,0,0,0,183,99.527971,99.527971,99.527971,99.527971
310,0.0,18.331147,28.562343,45.87,56.295,1445.713146,264.378,1.961459,1843.571178,202.662,19.480413,28.131688,1.149266,-0.430655,1.227304,0.025332,1,1,5,2,4,2,0,2,161,76.40499,15.280998,27.063089,50.47436,5,2,4,2,0,2,161,76.40499,15.280998,27.063089,50.47436
311,0.0,28.427774,7.53343,61.716,15.429,255.095163,160.962,2.842938,398.727477,152.622,29.627641,7.683584,1.199867,0.150154,1.209226,0.053668,1,1,1,0,2,0,0,0,137,62.382358,62.382358,62.382358,62.382358,1,0,2,0,0,0,137,62.382358,62.382358,62.382358,62.382358
312,0.0,12.875473,9.298834,26.688,22.935,273.00573,110.922,1.893768,374.556906,97.578,12.940745,9.910816,0.065273,0.611982,0.615453,0.028183,1,1,5,2,4,2,0,2,70,35.003449,7.00069,10.627362,24.864633,5,2,4,2,0,2,70,35.003449,7.00069,10.627362,24.864633
313,0.0,9.576421,16.862152,17.097,29.19,206.406243,96.744,1.89958,251.791272,90.906,8.662829,15.729943,-0.913591,-1.132209,1.454836,0.081253,1,1,1,0,2,0,0,0,53,26.317995,26.317995,26.317995,26.317995,1,0,2,0,0,0,53,26.317995,26.317995,26.317995,26.317995
